datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_liste;D1_summe_kandidaten;D1_summe_liste_kandidaten;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D2_liste;D2_summe_kandidaten;D2_summe_liste_kandidaten;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D3_liste;D3_summe_kandidaten;D3_summe_liste_kandidaten;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D4_liste;D4_summe_kandidaten;D4_summe_liste_kandidaten;D4_1;D4_2;D4_3;D4_4;D4_5;D5_liste;D5_summe_kandidaten;D5_summe_liste_kandidaten;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D6_liste;D6_summe_kandidaten;D6_summe_liste_kandidaten;D6_1;D7_liste;D7_summe_kandidaten;D7_summe_liste_kandidaten;D7_1;D7_2;D7_3;D7_4;D7_5;D8_liste;D8_summe_kandidaten;D8_summe_liste_kandidaten;D8_1;D8_2;D9_liste;D9_summe_kandidaten;D9_summe_liste_kandidaten;D9_1;D10_liste;D10_summe_kandidaten;D10_summe_liste_kandidaten;D10_1;D11_liste;D11_summe_kandidaten;D11_summe_liste_kandidaten;D11_1;D11_2
12.09.2021;Stadtratswahl;03403000;111;111 GS Bürgeresch;1;1;1272;439;0;1711;639;0;4;635;1899;204;251;455;127;38;30;8;11;3;10;7;5;1;7;4;132;145;277;52;25;15;3;11;10;13;7;1;3;5;;452;263;715;80;25;43;33;6;7;19;50;;;115;78;193;44;20;8;6;;47;49;96;14;4;13;4;1;6;1;6;;20;14;34;14;1;16;17;15;0;0;1;0;14;13;27;8;5;5;7;12;7;;;;;48;25;73;14;11
12.09.2021;Stadtratswahl;03403000;112;112 GSG Oldenburg;1;1;1154;358;0;1512;444;0;4;440;1301;148;175;323;81;20;21;14;6;8;9;6;2;2;3;3;117;111;228;44;12;22;0;7;8;1;14;1;2;0;;251;177;428;40;27;23;9;5;8;12;53;;;71;49;120;17;27;1;4;;52;43;95;14;13;3;3;0;3;0;7;;11;10;21;10;0;4;4;2;2;0;0;0;17;8;25;5;3;12;7;19;7;;;;;26;12;38;5;7
12.09.2021;Stadtratswahl;03403000;113;113 GSG Oldenburg;1;1;1038;238;0;1276;305;0;2;303;892;120;154;274;59;25;19;11;4;7;6;10;1;8;2;2;41;74;115;24;17;5;1;3;10;1;9;2;1;1;;147;122;269;56;16;25;6;3;2;2;12;;;62;43;105;11;16;3;13;;17;11;28;1;4;1;1;1;0;0;3;;18;8;26;8;3;8;11;2;1;0;0;5;6;11;17;11;0;16;2;18;2;;;;;18;11;29;6;5
12.09.2021;Stadtratswahl;03403000;114;114 GS Donnerschwee;1;1;1151;235;0;1386;529;0;12;517;1524;187;243;430;97;27;37;11;17;8;17;8;5;5;5;6;136;209;345;68;54;18;7;16;9;18;11;1;5;2;;232;186;418;64;30;33;18;8;2;4;27;;;64;77;141;37;28;7;5;;26;32;58;9;4;4;5;0;3;0;7;;22;13;35;13;4;15;19;10;4;0;1;0;13;5;18;5;0;10;4;14;4;;;;;35;11;46;6;5
12.09.2021;Stadtratswahl;03403000;115;115 GSG Oldenburg;1;1;1073;239;0;1312;527;0;2;525;1528;173;146;319;29;24;32;4;15;4;6;9;1;2;12;8;72;64;136;13;15;10;5;4;2;8;4;0;3;0;;431;295;726;67;56;84;19;36;3;7;23;;;71;65;136;21;26;7;11;;56;29;85;15;1;5;1;1;1;0;5;;9;7;16;7;0;2;2;2;0;0;0;0;11;10;21;8;2;19;6;25;6;;;;;45;17;62;11;6
12.09.2021;Stadtratswahl;03403000;201;201 Cäcilienschule Oldenburg;1;1;1170;462;0;1632;635;0;6;629;1879;198;154;352;84;22;10;3;11;3;7;3;0;5;4;2;205;215;420;94;34;10;9;4;0;26;2;11;4;2;19;405;245;650;55;84;23;16;21;10;11;25;;;87;89;176;44;12;24;4;5;60;53;113;33;1;2;12;1;1;0;3;;33;3;36;3;6;2;8;1;1;0;0;;16;17;33;1;16;;;;;;;;;68;23;91;17;6
12.09.2021;Stadtratswahl;03403000;202;202 Oberkirchenrat;1;1;983;311;0;1294;480;0;3;477;1417;140;178;318;101;27;15;5;1;4;4;4;2;8;4;3;83;150;233;57;9;12;9;2;2;36;0;1;3;3;16;277;204;481;52;54;11;27;23;11;13;13;;;71;91;162;41;8;34;0;8;40;40;80;16;1;5;3;1;0;9;5;;15;5;20;5;1;3;4;0;3;0;0;;11;10;21;2;8;;;;;;;;;62;36;98;19;17
12.09.2021;Stadtratswahl;03403000;203;203 Edith-Ruß-Haus;1;1;1092;404;0;1496;618;0;5;613;1800;115;151;266;54;31;15;13;8;4;10;6;2;1;4;3;98;137;235;74;10;9;4;1;5;18;2;1;0;1;12;511;255;766;57;75;27;16;29;14;22;15;;;106;143;249;51;11;68;5;8;77;52;129;21;2;5;9;1;4;10;0;;21;8;29;8;0;4;4;1;3;0;0;;9;16;25;8;8;;;;;;;;;41;56;97;49;7
12.09.2021;Stadtratswahl;03403000;204;204 GUV;1;1;1176;497;0;1673;625;0;4;621;1838;166;166;332;74;23;14;3;11;13;5;3;4;5;3;8;136;199;335;79;11;10;9;7;2;49;1;5;7;0;19;409;245;654;63;72;16;29;23;16;7;19;;;70;108;178;21;19;57;4;7;75;113;188;57;17;11;5;10;2;2;9;;12;13;25;13;0;2;2;1;1;0;0;;8;21;29;10;11;;;;;;;;;66;29;95;23;6
12.09.2021;Stadtratswahl;03403000;205;205 Edith-Russ-Haus;1;1;1071;298;0;1369;374;0;1;373;1112;99;94;193;38;11;23;5;2;1;3;1;2;1;4;3;55;66;121;38;2;5;4;1;0;5;1;1;0;3;6;257;155;412;24;48;27;7;16;6;16;11;;;97;97;194;25;13;50;5;4;45;43;88;12;4;6;4;0;6;3;8;;6;8;14;8;0;12;12;3;0;6;3;;11;9;20;7;2;;;;;;;;;36;22;58;10;12
